time,total_power
0.0,7493.000000303952
0.0,7497.000000428591
4.0,7501.002094890389
8.0,7495.1071759857305
12.0,7503.77061976477
16.0,7504.540179747313
20.0,7498.8376885484
24.0,7503.8512820210335
28.0,7501.359779923348
32.0,7504.911127265838
36.0,7503.256019554242
40.0,7510.136954291793
44.0,7512.254373676823
48.0,7517.524264711985
52.0,7514.686816635378
56.0,7520.897298800451
60.0,7523.490861496322
64.0,7524.099140484309
68.0,7523.578821676737
72.0,7521.390806559592
76.0,7523.225246715835
80.0,7519.471286668919
84.0,7521.576149948001
88.0,7517.84887470704
92.0,7520.681338240439
96.0,7523.819336332061
100.0,7522.005855304437
104.0,7527.287995062754
108.0,7522.846110716326
112.0,7513.200226323977
116.0,7508.919678950916
120.0,7511.381871342278
124.0,7518.90784454586
128.0,7522.59135054626
132.0,7519.585904138997
136.0,7517.038083934109
140.0,7519.075763570648
144.0,7528.868368561056
148.0,7526.752325341888
152.0,7522.793965960267
156.0,7519.291638699392
160.0,7515.70588950932
164.0,7517.5013678719815
168.0,7519.698153899012
172.0,7516.111143550014
176.0,7518.591696750214
180.0,7521.067923710855
184.0,7525.168732845261
188.0,7523.7778804076115
192.0,7514.455695654404
196.0,7514.522705242818
200.0,7517.086469472582
204.0,7526.372924191165
208.0,7529.248848555099
212.0,7519.719655308312
216.0,7520.362631045044
220.0,7520.750094693608
224.0,7524.284145101068
228.0,7522.26748591312
232.0,7512.604386235634
236.0,7515.11477429345
240.0,7513.440696540425
244.0,7518.259387580181
248.0,7516.279066459445
252.0,7512.949994598085
256.0,7509.916040699248
260.0,7506.354580333299
264.0,7515.228542939559
268.0,7520.002905514393
272.0,7512.797352891444
276.0,7514.749605161348
280.0,7510.616249837954
284.0,7519.893840901739
288.0,7525.800181822311
292.0,7519.035487560736
296.0,7522.404053737151
300.0,7526.115341518306
304.0,7537.069392219671
308.0,7536.769385063009
312.0,7528.51484518262
316.0,7528.811044850988
320.0,7526.937325821983
324.0,7535.374822157517
328.0,7533.117918770608
332.0,7522.993459230777
336.0,7516.545067608786
340.0,7517.0959261240405
344.0,7518.999737152186
348.0,7521.325109062056
352.0,7515.350907754704
356.0,7511.5205590740425
360.0,7507.1555325629915
364.0,7514.913844600031
368.0,7519.3217531282535
372.0,7509.329680281909
376.0,7511.411251489553
380.0,7508.817292258779
384.0,7517.09990942894
388.0,7513.176506160048
392.0,7502.4255179754755
396.0,7505.084764429148
400.0,7505.000410847439
404.0,7510.074050685185
408.0,7513.936686658932
412.0,7512.613108674644
416.0,7510.1670547944395
420.0,7504.926796341465
424.0,7515.058526868276
428.0,7518.919746142781
432.0,7510.156968714768
436.0,7512.030827409721
440.0,7509.328794904802
444.0,7517.802669625868
448.0,7515.2891914464635
452.0,7511.811474827006
456.0,7513.061027393953
460.0,7510.09195705309
464.0,7513.571925130015
