Time,Demand_pu,Value_event
0,1.0,0.0
4,1.0009468008665565,0.09468008665565186
8,1.0021288145042706,0.11808955647700792
12,1.002868175532614,0.07377904094187926
16,1.003748403,0.0877710040921631
20,1.0045544747549189,0.08030615565710608
24,1.00459447,0.003981391361662645
28,1.004052170136582,-0.05398196781014608
32,1.0048844030778308,0.08288742019604278
36,1.003988240086699,-0.08918070460511851
40,1.004316578,0.03270336246892214
44,1.0055620027879482,0.12400719207763533
48,1.006530116,0.09627583474391965
52,1.006901777,0.03692497562586272
56,1.005657593473402,-0.12356553092049971
60,1.00589295,0.023403246604547512
64,1.005614186,-0.027713088157133026
68,1.0049279663053121,-0.06823886379502264
72,1.0056940329682238,0.07623100247953207
76,1.0044072291365098,-0.12795182128266802
80,1.0053940992218682,0.09825398072917935
84,1.0041195593689007,-0.12677017439767235
88,1.0053471043748707,0.12225088083550606
92,1.006149266,0.07978951962348546
96,1.0053134163093254,-0.08307412418016025
100,1.004898101,-0.041312022955986016
104,1.0034751873084637,-0.1415978087848213
108,1.002945694,-0.05276595925444161
112,1.0021810417904837,-0.07624063935772751
116,1.0034934745722042,0.13095765405577442
120,1.003607392,0.011352084560822817
124,1.0045672825572098,0.09564403021156132
128,1.0053753193297754,0.08043630193774742
132,1.0044078055413976,-0.09623408987429194
136,1.0052281269482317,0.08167214574681392
140,1.0059352097153438,0.07034052750380937
144,1.004795051959134,-0.11334306078544243
148,1.005706329,0.09069282726752448
152,1.0045700473044161,-0.11298344882780809
156,1.0037691760043181,-0.0797227930742106
160,1.0025196796608296,-0.12448044564014049
164,1.003545593396169,0.10233352583028932
168,1.0044251945170632,0.0876493431571479
172,1.0051630044133217,0.07345593283463181
176,1.0057560188430021,0.058996842012359885
180,1.0046080134974071,-0.1141435222943632
184,1.004159468,-0.04464880743341171
188,1.0034301473774898,-0.07262996025551027
192,1.003912422,0.048062600448139925
196,1.0048109733901842,0.08950495785220447
200,1.005371149,0.05574935233099154
204,1.005842598,0.04689303054590255
208,1.0046283200938568,-0.1207224578236854
212,1.005182631,0.055175719722044825
216,1.005302043,0.011879632249622851
220,1.004199680471057,-0.10965485812138853
224,1.003677774,-0.051972379717557526
228,1.0029526510337856,-0.07224658999118727
232,1.0042537696046778,0.1297288131748786
236,1.0036760289683828,-0.057529347041673784
240,1.0031740838112997,-0.05001067501821943
244,1.002598732,-0.05735313746481063
248,1.0038499994127745,0.12480241325245611
252,1.0028809428756977,-0.096533997872561
256,1.0020925397600484,-0.07861382961257268
260,1.0030539330183215,0.09593857055389954
264,1.0042733364932799,0.12156908365725805
268,1.0036686821925838,-0.06020814042593248
272,1.004448415,0.07768826717924338
276,1.003023741005234,-0.14183645207562767
280,1.0040454472718174,0.1018626204759121
284,1.0055381723530066,0.14867106715588108
288,1.004928847713495,-0.060596868051832065
