Time,Signal_event
100,0.09951257734539197
110,-0.09970629576280926
120,0.09964055745017869
130,-0.09946534202437367
140,0.09940998091546838
150,-0.09943260484343637
160,0.09974866531680636
170,-0.09955943015555371
180,0.09954131228942073
190,-0.0996581578312696
200,0.09946575461158376
210,-0.09953930025649442
220,0.09958178830836843
230,-0.0997056041448475
240,0.0996835959119637
250,-0.0996164766234969
260,0.09969553650927504
270,-0.09963447278393013
280,0.09959708524322185
290,-0.09950953266744113
300,0.09920983835038168
310,-0.09937486797302245
320,0.09933292556637613
330,-0.09952417544860082
340,0.0997249521499827
350,-0.09960478028401147
360,0.09972503424629978
370,-0.09974020499545133
380,0.09965686606298776
390,-0.09989951910324184
400,0.09982008411959252
410,-0.09956842684693064
420,0.09968206036353795
430,-0.09970501738797938
440,0.09964382171007123
450,-0.09963587183054953
460,0.0997866890143308
470,-0.09970714034521695
480,0.09964631197383887
490,-0.0997432702525317
500,0.09988990609472233
510,-0.09973644908314301
520,0.09973417570892609
530,-0.09974728894644716
540,0.09958989921188927
550,-0.09956840114254942
560,0.09938748289392339
570,-0.099534326233467
580,0.09951787272824457
590,-0.09957020114807234
600,0.09978172337324658
610,-0.09979427191297742
620,0.09973552939544954
630,-0.09973175420206726
640,0.09980594240576889
650,-0.0999062664857452
660,0.0998746022675448
670,-0.09987732937087573
680,0.09985904436536226
690,-0.09993445449031663
700,0.09983210835555707
710,-0.09986577036408872
720,0.10003547366978485
730,-0.09999257165184455
