filename,numNodes,area,compromisedMW,compromisedMvar,meanDelay,stdDelay,initialTotalDemand,finalTotalDemand,finalDemandPercentage,generationCapacityTripped,loadsShed,overVoltageLoads,underVoltageLoads,compromisedPV
rms_L(37)_(27)_(33)_SC1_Lines_C1-C2_.csv,3,C,150,21.000000000000004,0,0,15565.0,15323.156066533735,0.984462323580709,0.0,0.0,0.0,0.0,0
rms_L(24)_(36)_(28)_SC1_Lines_C1-C2_.csv,3,C,150,21.000000000000004,0,0,15565.0,15316.284796941072,0.9840208671340233,0.0,0.0,0.0,0.0,0
rms_L(28)_(25)_(40)_SC1_Lines_C1-C7_.csv,3,C,150,21.000000000000004,0,0,15565.0,15487.798018807523,0.9950400269070044,0.0,0.0,0.0,0.0,0
rms_L(33)_(34)_(24)_SC1_Lines_C1-C2_.csv,3,C,150,21.000000000000004,0,0,15565.0,15316.962207231809,0.9840643885147323,0.0,0.0,0.0,0.0,0
rms_L(37)_(39)_(30)_SC1_Lines_C1-C7_.csv,3,C,150,21.000000000000004,0,0,15565.0,15491.198163453018,0.9952584750050124,0.0,0.0,0.0,0.0,0
rms_L(38)_(30)_(28)_SC8a_Lines_C6a-C8a_.csv,3,C,150,21.000000000000004,0,0,15565.0,15759.351056558484,1.0124864154550905,0.0,0.0,0.0,0.0,0
rms_L(23)_(41)_(40)_SC1_Lines_C1-C2_.csv,3,C,150,21.000000000000004,0,0,15565.0,15330.477914295552,0.9849327281911694,0.0,0.0,0.0,0.0,0
rms_L(35)_(36)_(26)_SC1_Lines_C1-C2_.csv,3,C,150,21.000000000000004,0,0,15565.0,15325.327447565083,0.9846018276623889,0.0,0.0,0.0,0.0,0
rms_L(36)_(29)_(33)_SC1_Lines_C1-C2_.csv,3,C,150,21.000000000000004,0,0,15565.0,15324.21611634785,0.9845304282908994,0.0,0.0,0.0,0.0,0
rms_L(30)_(33)_(37)_SC8a_Lines_C8a-C9_.csv,3,C,150,21.000000000000004,0,0,15565.0,15579.711612672443,1.000945172674105,0.0,0.0,0.0,0.0,0
rms_L(32)_(25)_(26)_SC8a_Lines_C8a-C9_.csv,3,C,150,21.000000000000004,0,0,15565.0,15548.367996067447,0.9989314485105973,0.0,0.0,0.0,0.0,0
rms_L(31)_(30)_(24)_SC1_Lines_C1-C7_.csv,3,C,150,21.000000000000004,0,0,15565.0,15478.75368433735,0.9944589581970671,0.0,0.0,0.0,0.0,0
rms_L(35)_(33)_(24)_SC8a_Lines_C8a-C9_.csv,3,C,150,21.000000000000004,0,0,15565.0,15571.488649103241,1.0004168743400734,0.0,0.0,0.0,0.0,0
rms_L(36)_(33)_(32)_SC1_Lines_C1-C2_.csv,3,C,150,21.000000000000004,0,0,15565.0,15322.0530903922,0.9843914609953229,0.0,0.0,0.0,0.0,0
rms_L(38)_(34)_(41)_SC1_Lines_C1-C2_.csv,3,C,150,21.000000000000004,0,0,15565.0,15320.727903209994,0.9843063220822355,0.0,0.0,0.0,0.0,0
