filename,numNodes,area,compromisedMW,compromisedMvar,meanDelay,stdDelay,initialTotalDemand,finalTotalDemand,finalDemandPercentage,generationCapacityTripped,loadsShed,overVoltageLoads,underVoltageLoads,compromisedPV
rms_LSC6a_Lines_C6a-C15_.csv,3,C,500,70.0,0,0,15565.0,15675.874298169738,1.0071233085878406,0.0,0.0,0.0,0.0,0
rms_LSC14a_Lines_C14a-C16_.csv,3,C,500,70.0,0,0,15565.0,15564.438672217975,0.9999639365382574,0.0,0.0,0.0,0.0,0
rms_LSC7_Lines_C4-C7_.csv,3,C,500,70.0,0,0,15565.0,15279.286490994957,0.9816438477992264,0.0,0.0,0.0,0.0,0
rms_LSC6a_Lines_C6a-C8a_.csv,3,C,500,70.0,0,0,15565.0,15655.32299370128,1.0058029549438663,0.0,0.0,0.0,0.0,0
rms_LSC4_Lines_C3-C4_.csv,3,C,500,70.0,0,0,15565.0,15467.841081796383,0.9937578594151226,0.0,0.0,0.0,0.0,0
rms_LSC12_Lines_C11-C12_.csv,3,C,500,70.0,0,0,15565.0,15403.452278371482,0.989621090804464,0.0,0.0,0.0,0.0,0
rms_LSC5a_Lines_C5a-C16_.csv,3,C,500,70.0,0,0,15565.0,15565.061494718724,1.000003950833198,0.0,0.0,0.0,0.0,0
rms_LSC7_Lines_C7-C8_.csv,3,C,500,70.0,0,0,15565.0,15392.675705398564,0.9889287314743695,0.0,0.0,0.0,0.0,0
rms_LSC10_Lines_C10-C11_.csv,3,C,500,70.0,0,0,15565.0,15513.897073759454,0.9967168052527756,0.0,0.0,0.0,0.0,0
rms_LSC19_Lines_C18-C19_.csv,3,C,500,70.0,0,0,15565.0,15520.200087186648,0.9971217531118952,0.0,0.0,0.0,0.0,0
rms_LSC3_Lines_C2-C3_.csv,3,C,500,70.0,0,0,15565.0,14894.51361399906,0.9569234573722494,0.0,0.0,0.0,0.0,0
rms_LSC13_Lines_C13-C14_.csv,3,C,500,70.0,0,0,15565.0,15658.840500160231,1.0060289431519582,0.0,0.0,0.0,0.0,0
rms_LSC14_Lines_C14-C15_.csv,3,C,500,70.0,0,0,15565.0,15251.818140007486,0.9798790966917756,0.0,0.0,0.0,0.0,0
rms_LSC6_Lines_C5-C6_.csv,3,C,500,70.0,0,0,15565.0,15463.193838039117,0.9934592893054364,0.0,0.0,0.0,0.0,0
rms_LSC14a_Lines_C14a-C17_.csv,3,C,500,70.0,0,0,15565.0,15564.293382542855,0.999954602155018,0.0,0.0,0.0,0.0,0
rms_LSC9_Lines_C8a-C9_.csv,3,C,500,70.0,0,0,15565.0,15490.985819394104,0.9952448325984006,0.0,0.0,0.0,0.0,0
rms_LSC12_Lines_C12-C13_.csv,3,C,500,70.0,0,0,15565.0,14920.740247797094,0.958608432238811,0.0,0.0,0.0,0.0,0
rms_LSC10_Lines_C9-C10_.csv,3,C,500,70.0,0,0,15565.0,15538.087199673517,0.9982709411932872,0.0,0.0,0.0,0.0,0
rms_LSC1_Lines_C1-C7_.csv,3,C,500,70.0,0,0,15565.0,15405.493903511306,0.9897522584973534,0.0,0.0,0.0,0.0,0
rms_LSC5a_Lines_C5a-C19_.csv,3,C,500,70.0,0,0,15565.0,15518.118026993425,0.9969879875999632,0.0,0.0,0.0,0.0,0
rms_LSC5_Lines_C3-C5_.csv,3,C,500,70.0,0,0,15565.0,15447.671744593212,0.992462045910261,0.0,0.0,0.0,0.0,0
rms_LSC17_Lines_C17-C18_.csv,3,C,500,70.0,0,0,15565.0,15565.001085080088,1.0000000697128228,0.0,0.0,0.0,0.0,0
rms_LSC1_Lines_C1-C2_.csv,3,C,500,70.0,0,0,15565.0,15270.26587974891,0.9810643032283268,0.0,0.0,0.0,0.0,0
rms_LSC6_Lines_C4-C6_.csv,3,C,500,70.0,0,0,15565.0,15374.728575985417,0.9877756875030784,0.0,0.0,0.0,0.0,0
rms_LSC2_Lines_C1-C2_C2-C3_.csv,3,C,500,70.0,0,0,15565.0,14337.235817922454,0.9211201938915808,0.0,0.0,0.0,0.0,0
rms_LSC9_Lines_C9-C10_C8a-C9_.csv,3,C,500,70.0,0,0,15565.0,15157.559534143227,0.9738232916250068,0.0,0.0,0.0,500.0,0
rms_LSC13_Lines_C13-C14_C12-C13_.csv,3,C,500,70.0,0,0,15565.0,14905.979775468724,0.9576601204926904,0.0,0.0,0.0,600.0,0
rms_LSC6a_Lines_C6a-C15_C6a-C8a_.csv,3,C,500,70.0,0,0,15565.0,15667.313840083618,1.006573327342346,0.0,0.0,0.0,0.0,0
rms_LSC4_Lines_C4-C6_C4-C7_C3-C4_.csv,3,C,500,70.0,0,0,15565.0,14934.700584062764,0.9595053378774664,0.0,0.0,0.0,500.0,0
rms_LSC11_Lines_C10-C11_C11-C12_.csv,3,C,500,70.0,0,0,15565.0,15201.428691782505,0.9766417405578224,0.0,0.0,0.0,400.0,0
rms_LSC7_Lines_C7-C8_C4-C7_C1-C7_.csv,3,C,500,70.0,0,0,15565.0,14282.439215843518,0.9175996926336986,1300.0002136230469,0.0,0.0,400.0,0
rms_LSC15_Lines_C6a-C15_C14-C15_.csv,3,C,500,70.0,0,0,15565.0,15152.470156853611,0.9734963158916552,0.0,0.0,0.0,500.0,0
rms_LSC8_Lines_C7-C8_.csv,3,C,500,70.0,0,0,15565.0,15392.675705398564,0.9889287314743695,0.0,0.0,0.0,0.0,0
rms_LSC17_Lines_C17-C18_C14a-C17_.csv,3,C,500,70.0,0,0,15565.0,15514.373495162145,0.9967474137592126,0.0,0.0,0.0,10.0,0
rms_LSC18_Lines_C18-C19_C17-C18_.csv,3,C,500,70.0,0,0,15565.0,15508.496910387012,0.9963698625369106,0.0,0.0,0.0,20.0,0
rms_LSC5a_Lines_C5a-C19_C5a-C16_.csv,3,C,500,70.0,0,0,15565.0,15517.609311959506,0.9969553043340512,0.0,0.0,0.0,0.0,0
rms_LSC19_Lines_C5a-C19_C18-C19_.csv,3,C,500,70.0,0,0,15565.0,15511.016088143737,0.9965317114130252,0.0,0.0,0.0,15.0,0
rms_LSC14_Lines_C13-C14_C14-C15_.csv,3,C,500,70.0,0,0,15565.0,15150.44813291225,0.9733664075112272,0.0,0.0,0.0,0.0,0
rms_LSC10_Lines_C9-C10_C10-C11_.csv,3,C,500,70.0,0,0,15565.0,15458.109417588485,0.9931326320326684,0.0,0.0,0.0,0.0,0
rms_LSC1_Lines_C1-C2_C1-C7_.csv,3,C,500,70.0,0,0,15565.0,4685.355900112868,0.3010186893744213,9890.000213623049,3532.0,0.0,7000.0,0
rms_LSC12_Lines_C12-C13_C11-C12_.csv,3,C,500,70.0,0,0,15565.0,14679.955632955562,0.9431388135532004,1150.0,0.0,0.0,100.0,0
rms_LSC6_Lines_C4-C6_C5-C6_.csv,3,C,500,70.0,0,0,15565.0,15131.32570751883,0.9721378546430344,0.0,0.0,0.0,0.0,0
rms_LSC3_Lines_C3-C4_C3-C5_C2-C3_.csv,3,C,500,70.0,0,0,15565.0,14738.251915318147,0.9468841577461063,0.0,0.0,0.0,600.0,0
rms_LSC5_Lines_C3-C5_C5-C6_.csv,3,C,500,70.0,0,0,15565.0,15412.427213446948,0.9901977008317988,0.0,0.0,0.0,0.0,0
rms_LSC14a_Lines_C14a-C17_C14a-C16_.csv,3,C,500,70.0,0,0,15565.0,15563.688001053832,0.999915708387654,0.0,0.0,0.0,0.0,0
rms_LSC16_Lines_C14a-C16_C5a-C16_.csv,3,C,500,70.0,0,0,15565.0,15509.025627013329,0.996403830839276,0.0,0.0,0.0,20.0,0
