68400,1
68404,1.00398393
68408,1.00502935
68412,1.005912443
68416,1.003748403
68420,1.007858841
68424,1.00459447
68428,1.002218367
68432,1.005379912
68436,1.001727774
68440,1.004316578
68444,1.006371746
68448,1.006530116
68452,1.006901777
68456,1.000386546
68460,1.00589295
68464,1.005614186
68468,1.002539898
68472,1.007183852
68476,1.000226785
68480,1.006425842
68484,1.002186989
68488,1.008072126
68492,1.006149266
68496,1.001798195
68500,1.004898101
68504,1.00062696
68508,1.002945694
68512,1.001471914
68516,1.004460345
68520,1.003607392
68524,1.006609349
68528,1.00678834
68532,1.000471914
68536,1.006634287
68540,1.007849977
68544,1.001580888
68548,1.005706329
68552,1.001898669
68556,1.002390834
68560,1.000436611
68564,1.007268055
68568,1.005201245
68572,1.005627195
68576,1.008133973
68580,1.002390205
68584,1.004159468
68588,1.000612429
68592,1.003912422
68596,1.005238264
68600,1.005371149
68604,1.005842598
68608,1.004414558
68612,1.005182631
68616,1.005302043
68620,1.004037852
68624,1.003677774
68628,1.002165435
68632,1.007198645
68636,1.001175086
68640,1.000412822
68644,1.002598732
68648,1.007134787
68652,1.000385332
68656,1.000037018
68660,1.005066228
68664,1.006599769
68668,1.001256473
68672,1.004448415
68676,1.001742331
68680,1.004035718
68684,1.005742183
68688,1.00199737
68692,1.007172173
68696,1.00693798
68700,1.008284464
68704,0.999581727
68708,1.003259222
68712,1.006669849
68716,0.999026917
68720,1.006715542
68724,1.000025004
68728,1.000696087
68732,1.00217125
68736,1.006149729
68740,1.002382825
68744,1.007523029
68748,1.003967879
68752,1.002972271
68756,1.001600782
68760,1.002757239
68764,1.005972926
68768,0.999408563
68772,1.007895741
68776,0.998990184
68780,1.003443154
68784,1.001186027
68788,1.000055579
68792,1.004588175
68796,1.002356936
68800,0.999687942
68804,1.0076618
68808,1.006331134
68812,1.00120722
68816,0.999465835
68820,1.006078223
68824,1.0070809
68828,1.001595835
68832,1.007674457
68836,0.999241969
68840,1.005097806
68844,1.002269969
68848,1.004746251
68852,1.003994575
68856,0.999268039
68860,1.001582941
68864,1.006112642
68868,1.001896941
68872,1.000712363
68876,1.007912803
68880,1.004389246
68884,1.003576515
68888,1.000308142
68892,1.002840712
68896,0.999437832
68900,1.00090346
68904,1.001242754
68908,1.003895069
68912,1.00205696
68916,1.005631604
68920,1.002665328
68924,1.007426517
68928,0.999089027
68932,1.001742264
68936,1.007192873
68940,1.006080621
68944,1.005944649
68948,1.001912962
68952,1.004734879
68956,1.005392869
68960,1.00616292
68964,1.00138949
68968,1.001528177
68972,1.00358187
68976,1.005056066
68980,1.00484463
68984,1.004948498
68988,1.003737963
68992,1.004935579
68996,0.999091153
69000,0.998914022
69004,1.001478983
69008,1.002061522
69012,0.998969035
69016,1.002010104
69020,1.004541994
69024,1.001416788
69028,1.003188133
69032,0.999887701
69036,1.003198528
69040,1.001357831
69044,1.001904609
69048,0.999085465
69052,0.999285849
69056,1.003140606
69060,1.004561089
69064,1.004283007
69068,0.99922648
69072,0.999358324
69076,1.000884414
69080,1.001411546
69084,0.999225172
69088,1.000655885
69092,1.002420107
69096,1.000318717
69100,1.003376022
69104,1.003348763
69108,0.999526515
69112,1.004119489
69116,1.000546884
69120,0.999678704
69124,1.003312358
69128,1.000074289
69132,1.002954424
69136,1.002545593
69140,0.999217982
69144,1.00298091
69148,1.004144668
69152,1.001996205
69156,1.000563676
69160,1.000528428
69164,1.003473047
69168,1.002671684
69172,0.999821989
69176,1.002164627
69180,1.000663428
69184,1.000956946
69188,1.003907673
69192,1.003903845
69196,1.004076729
69200,0.999363269
69204,1.002597057
69208,1.003343446
69212,1.000956753
69216,1.003615774
69220,1.004479511
69224,1.003438788
69228,1.002465834
69232,1.001126431
69236,1.003642891
69240,1.001016214
69244,1.002147315
69248,1.000849238
69252,0.999794763
69256,1.00012384
69260,1.002286801
69264,1.001360305
69268,1.000755973
69272,1.004402501
69276,1.002567506
69280,1.00118973
69284,1.003951292
69288,1.000020106
69292,0.99926699
69296,1.002234904
69300,1.004747277
69304,1.006837502
69308,1.008357032
69312,1.005780109
69316,1.00633281
69320,1.005559821
69324,1.005412291
69328,1.00855068
69332,1.008233986
69336,1.006093555
69340,1.00839712
69344,1.005494392
69348,1.007310657
69352,1.007497712
69356,1.005935021
69360,1.007357838
69364,1.007174187
69368,1.006656193
69372,1.00789607
69376,1.006566717
69380,1.008653975
69384,1.006303326
69388,1.007743447
69392,1.004972317
69396,1.006016478
69400,1.00868189
69404,1.008018639
69408,1.006540557
69412,1.007329023
69416,1.007022996
69420,1.008483953
69424,1.007671256
69428,1.008243098
69432,1.005266562
69436,1.007076099
69440,1.00494866
69444,1.006531227
69448,1.006525062
69452,1.00818919
69456,1.008361934
69460,1.006258384
69464,1.008246777
69468,1.007121406
69472,1.006863811
69476,1.005152695
69480,1.007457889
69484,1.006933248
69488,1.006170738
69492,1.007871143
69496,1.006263863
69500,1.007656043
69504,1.005278746
69508,1.005592602
69512,1.007977361
69516,1.005635047
69520,1.006159069
69524,1.005753394
69528,1.004901208
69532,1.005446406
69536,1.005153288
69540,1.008485484
69544,1.004811342
69548,1.006369381
69552,1.005275761
69556,1.005435198
69560,1.007542658
69564,1.005301168
69568,1.007014351
69572,1.006759611
69576,1.008161311
69580,1.004935964
69584,1.005751519
69588,1.008635713
69592,1.004988876
69596,1.00487555
69600,1.008749884
69604,1.008315252
69608,1.008570903
69612,1.008612954
69616,1.008579761
69620,1.00860175
69624,1.008517159
69628,1.008306319
69632,1.008716186
69636,1.008724962
69640,1.008567585
