industroyer,madiot,expected_load_loss
No industroyer,0MW,0.0
No industroyer,150MW,0.0
No industroyer,600MW,2.763299241128946e-07
No industroyer,1050MW,0.0005349157545018221
One Line,0MW,0.0
One Line,150MW,0.004232366029629608
One Line,600MW,0.00444604776647566
One Line,1050MW,0.01540882124974581
All Lines,0MW,0.011212580117173758
All Lines,150MW,0.01511908224296146
All Lines,600MW,0.025125542649048253
All Lines,1050MW,0.036780501250953467
